index;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f35;f36;f37;f38;f39;f40;f41;TouristsIndia
01.01.2005;8338;7933;1463;1932;1426;676;3600;1375;1287;937;8738;7933;1462;2004;1477;689;3771;1444;1287;1040;13068;12547;2861;2800;2030;1095;5449;1984;1854;1610;13824;12547;2958;2913;2112;1132;5754;2099;1854;1801;9393;1108967
01.04.2005;8641;7608;1517;1994;1480;699;3669;1424;1289;957;8224;7608;1450;1960;1460;694;3537;1372;1289;876;13455;11852;2901;2861;2073;1139;5588;2048;1900;1639;12816;11852;2778;2797;2017;1126;5375;1971;1900;1503;6257;721024
01.07.2005;8861;7670;1582;2030;1516;725;3787;1469;1331;987;8404;7670;1232;1997;1498;707;3739;1429;1331;979;13644;11730;2943;2891;2110;1166;5699;2091;1934;1673;12861;11730;2253;2827;2077;1130;5608;2023;1934;1650;6964;838583
01.10.2005;9206;8840;1654;2116;1589;776;3930;1533;1379;1019;9592;8840;2060;2104;1568;782;3916;1546;1379;991;13990;13350;2997;2970;2177;1232;5843;2152;1990;1701;14497;13350;3702;2969;2172;1238;5809;2170;1990;1649;10509;1250037
01.01.2006;9582;9107;1699;2182;1634;804;4106;1594;1468;1044;10069;9107;1710;2262;1693;821;4301;1672;1468;1161;14341;13793;3007;3042;2230;1254;6062;2222;2123;1717;15256;13793;3115;3170;2324;1297;6399;2349;2123;1927;11910;1267443
01.04.2006;9877;8812;1721;2320;1740;837;4235;1645;1521;1069;9356;8812;1633;2285;1720;835;4107;1593;1521;992;14531;12956;3034;3169;2326;1267;6126;2252;2155;1719;13765;12956;2886;3106;2272;1253;5928;2174;2155;1599;7566;853856
01.07.2006;10411;8965;1788;2427;1845;871;4419;1745;1587;1087;9866;8965;1381;2380;1821;851;4369;1698;1587;1083;14995;12877;3067;3267;2411;1286;6262;2343;2201;1718;14178;12877;2331;3185;2369;1247;6173;2268;2201;1704;8970;929458
01.10.2006;10732;10305;1850;2549;1951;928;4600;1831;1653;1116;11194;10305;2317;2524;1915;931;4571;1841;1653;1078;15349;14599;3075;3368;2494;1348;6438;2423;2281;1733;15871;14599;3851;3354;2475;1352;6391;2438;2281;1671;8970;1396410
01.01.2007;11178;10658;1955;2635;2033;969;4755;1877;1742;1136;11781;10658;1982;2742;2112;989;4963;1966;1742;1255;15690;15147;3165;3477;2589;1385;6652;2484;2420;1748;16752;15147;3273;3637;2704;1434;6986;2622;2420;1943;14407;1632324
01.04.2007;11592;10343;2021;2691;2050;1018;4925;1923;1819;1184;11068;10343;1919;2667;2033;1021;4802;1879;1819;1104;16027;14215;3203;3504;2608;1410;6740;2521;2429;1790;15253;14215;3016;3444;2560;1399;6543;2448;2429;1667;8610;934997
01.07.2007;11942;10337;2071;2781;2118;1064;5067;1975;1868;1224;11307;10337;1587;2721;2091;1048;5023;1925;1868;1230;16281;14104;3244;3581;2662;1460;6880;2572;2477;1830;15473;14104;2440;3492;2619;1421;6798;2495;2477;1826;9110;1062034
01.10.2007;12527;11881;2194;2922;2241;1114;5258;2095;1928;1235;12986;11881;2753;2871;2189;1107;5214;2089;1928;1197;17095;15995;3340;3685;2756;1495;7081;2684;2556;1840;17545;15995;4218;3651;2720;1492;7009;2690;2556;1762;13397;1575266
01.01.2008;12940;12340;2177;3039;2326;1152;5600;2184;2051;1365;13639;12340;2203;3173;2422;1173;5811;2284;2051;1476;17098;16446;3269;3739;2803;1491;7374;2763;2678;1933;18230;16446;3382;3922;2930;1544;7724;2908;2678;2138;14407;1632324
01.04.2008;13578;12416;2325;3165;2467;1236;5965;2321;2238;1406;13102;12416;2206;3193;2464;1240;5846;2297;2238;1311;17204;15608;3286;3838;2905;1537;7518;2839;2705;1974;16486;15608;3104;3794;2869;1528;7299;2779;2705;1815;10431;1030108
01.07.2008;14101;12448;2371;3269;2514;1280;6185;2389;2333;1463;13423;12448;1821;3223;2490;1265;6174;2345;2333;1497;17297;15306;3263;3832;2881;1553;7618;2848;2748;2022;16516;15306;2467;3762;2851;1515;7532;2778;2748;2006;12196;1146325
01.10.2008;13961;13688;2376;3271;2486;1250;6386;2378;2369;1639;14397;13688;2973;3179;2417;1234;6347;2351;2369;1627;17445;16918;3252;3817;2847;1512;7849;2842;2858;2149;17814;16918;4062;3767;2800;1501;7876;2836;2858;2181;14260;1473846
01.01.2009;13678;13419;2469;3037;2289;1278;6299;2231;2433;1635;14396;13419;2541;3148;2386;1304;6467;2326;2433;1709;17144;17014;3267;3615;2665;1567;8023;2802;3047;2174;18273;17014;3435;3779;2777;1624;8301;2937;3047;2317;13300;1405614
01.04.2009;14626;13462;2543;3311;2512;1307;6718;2422;2519;1777;14076;13462;2375;3321;2508;1301;6528;2401;2519;1608;18065;16530;3257;3970;2978;1599;8268;2981;3029;2258;17309;16530;3123;3904;2927;1591;7996;2919;3029;2048;11209;997366
01.07.2009;15558;13950;2673;3570;2702;1367;7093;2578;2609;1906;14715;13950;2030;3495;2670;1342;7094;2527;2609;1958;18527;16724;3284;4135;3117;1639;8486;3096;3061;2329;17665;16724;2517;4057;3085;1597;8471;3020;3061;2389;13200;1126558
01.10.2009;16292;15825;2747;3752;2856;1424;7421;2723;2707;1991;16708;15825;3433;3658;2765;1406;7371;2685;2707;1979;18930;18216;3264;4227;3209;1649;8644;3171;3117;2357;19277;18216;4008;4170;3152;1634;8609;3145;3117;2347;16000;1638161
01.01.2010;17172;16627;2999;3885;2923;1499;7705;2810;2863;2033;18148;16627;3124;4043;3051;1547;7945;2921;2863;2162;19425;18948;3369;4304;3269;1692;8865;3260;3254;2351;20696;18948;3527;4506;3409;1756;9188;3424;3254;2510;17746;1634521
01.04.2010;17894;16204;3128;3978;2970;1511;8152;2998;3062;2092;17137;16204;2874;3956;2966;1505;7911;2964;3062;1885;19916;18033;3469;4358;3293;1697;9088;3402;3320;2367;19091;18033;3270;4284;3233;1689;8781;3324;3320;2137;13627;1085830
01.07.2010;18719;16415;3271;4168;3093;1534;8417;3092;3143;2182;17558;16415;2450;4035;3051;1499;8417;3024;3143;2250;20387;18101;3576;4440;3344;1701;9240;3470;3367;2403;19375;18101;2703;4343;3312;1656;9238;3378;3367;2493;14742;1259101
01.10.2010;19607;18685;3382;4376;3324;1624;8710;3228;3268;2214;20095;18685;4303;4272;3207;1605;8578;3180;3268;2130;20935;19801;3587;4605;3509;1753;9400;3525;3455;2421;21338;19801;4513;4531;3438;1737;9245;3483;3455;2307;18774;1796240
